car_id,value_efficiency_score,age_usage_score,performance_range_score,equipment_score,final_score,valid_from,valid_to,is_latest,scrape_date
5928,43.94320327196492,100.0,92.78739457138477,57.142857142857146,73.46836374655172,NaT,nan,True,NaT
95560,66.6604563742154,70.37282583261836,95.52341665388744,85.71428571428571,79.56774614375173,NaT,nan,True,NaT
93924,65.66750069296978,76.51899227829342,94.38340745284466,57.142857142857146,73.42818939174126,NaT,nan,True,NaT
39582,0.0,80.1361839215112,90.0,100.0,67.5340459803778,NaT,nan,True,NaT
14080,40.78227760643989,59.99780348513691,94.15540561263612,42.857142857142854,59.44815739033894,NaT,nan,True,NaT
14074,3.843501956755541,59.99780348513691,87.01426161631653,0.0,37.71389176455224,NaT,nan,True,NaT
14070,81.60416446446544,88.32552350270903,67.0,57.142857142857146,73.5181362775079,NaT,nan,True,NaT
1295,56.12999789783477,76.8377507687802,27.0,21.428571428571427,45.34908002379659,NaT,nan,True,NaT
38011,83.08663443346646,50.0,95.52341665388744,64.28571428571429,73.22394134326704,NaT,nan,True,NaT
9296,19.234458859906734,85.22111582955046,85.65710780555129,50.0,60.02817062375212,NaT,nan,True,NaT
95065,29.09773099511203,63.58178357006882,86.74283085416349,64.28571428571429,60.92701492626466,NaT,nan,True,NaT
95878,60.744751905199145,77.31000146434324,94.15540561263612,57.142857142857146,72.33825403125891,NaT,nan,True,NaT
27433,26.220692268174467,94.77961634207058,86.47140009201044,57.142857142857146,66.15364146127816,NaT,nan,True,NaT
5928,43.94320327196492,100.0,92.78739457138477,57.142857142857146,73.46836374655172,NaT,nan,True,NaT
95560,66.6604563742154,72.1884609752526,95.52341665388744,85.71428571428571,80.02165492941029,NaT,nan,True,NaT
37176,65.9627867877511,78.66085810513984,95.06741297347034,64.28571428571429,75.99419303801889,NaT,nan,True,NaT
93924,68.3352554480635,77.95797334895299,94.38340745284466,57.142857142857146,74.45487334817958,NaT,nan,True,NaT
39582,0.0,80.1361839215112,90.0,100.0,67.5340459803778,2025-11-06,None,True,2025-11-06
14080,40.78227760643989,59.99780348513691,94.15540561263612,42.857142857142854,59.44815739033894,2025-11-06,None,True,2025-11-06
14074,3.843501956755541,59.99780348513691,87.01426161631653,0.0,37.713891764552244,2025-11-06,None,True,2025-11-06
14070,81.60416446446544,88.32552350270903,67.0,57.142857142857146,73.5181362775079,2025-11-06,None,True,2025-11-06
1295,56.12999789783477,76.8377507687802,27.0,21.428571428571427,45.349080023796596,2025-11-06,None,True,2025-11-06
38011,83.08663443346646,50.0,95.52341665388745,64.28571428571429,73.22394134326704,2025-11-06T00:00:00,None,True,2025-11-06
9296,19.234458859906734,85.22111582955046,85.65710780555129,50.0,60.02817062375212,2025-11-06T00:00:00,None,True,2025-11-06
95065,29.09773099511203,63.58178357006882,86.74283085416349,64.28571428571429,60.92701492626466,2025-11-06T00:00:00,None,True,2025-11-06
95878,60.744751905199145,77.31000146434324,94.15540561263612,57.142857142857146,72.33825403125891,2025-11-06,None,True,2025-11-06
27433,26.220692268174467,94.77961634207058,86.47140009201044,57.142857142857146,66.15364146127816,2025-11-06,None,True,2025-11-06
5928,43.94320327196492,100.0,92.78739457138477,57.142857142857146,73.46836374655172,2025-11-06,None,True,2025-11-06
95560,66.6604563742154,72.1884609752526,95.52341665388745,85.71428571428571,80.02165492941029,2025-11-06,None,True,2025-11-06
37176,65.9627867877511,78.66085810513984,95.06741297347034,64.28571428571429,75.99419303801889,2025-11-06T00:00:00,None,True,2025-11-06
93924,68.3352554480635,77.95797334895299,94.38340745284466,57.142857142857146,74.45487334817958,2025-11-06T00:00:00,None,True,2025-11-06
